,job_id,client_id,final_job_status,city,almost_picking_at,pickup_at,almost_picking_at_vs_pickup_at
153,6069843,31746,finished,Barcelona,2019-02-18 17:44:45,2019-02-18 17:45:00,-0.25
154,6069999,23768,finished,Barcelona,2019-02-18 14:11:55,2019-02-18 14:15:00,-3.0833
155,6071050,30361,finished,Barcelona,2019-02-18 17:14:06,2019-02-18 17:15:00,-0.9
156,6071077,30361,finished,Barcelona,2019-02-18 17:13:04,2019-02-18 17:15:00,-1.9333
157,6071865,30361,finished,Barcelona,2019-02-18 17:12:34,2019-02-18 17:15:00,-2.4333
158,6073493,23768,finished,Barcelona,2019-02-18 17:13:14,2019-02-18 17:15:00,-1.7666
159,6074481,30361,finished,Barcelona,2019-02-18 19:05:08,2019-02-18 19:15:00,-9.8666
160,6074910,43919,finished,Madrid,2019-02-18 17:38:46,2019-02-18 17:25:00,13.7666
161,6078151,11903,finished,Madrid,2019-02-18 19:20:43,2019-02-18 19:30:00,-9.2833
162,6078946,17866,finished,Barcelona,2019-02-18 20:00:30,2019-02-18 20:00:00,0.5
